type,address,item type,score,stauts,name,price,upc
,,,,In Stock,"Equate Flushable Wipes, Fresh Scent, 3 Packs of 48 Wipes, 144 Wipes Total",378,68113110523
walmart,10355 Trinity Pkwy,Masks,9.0,,,,
,,,,In Stock,Swissco Spa Bella Delux Mask,484,76989888105
,,,,In Stock,"SheaMoisture African Black Soap Clarifying Mud Mask Packette Sulfate-Free, 0.5 oz",248,76430227072
,,,,In Stock,"Masqueology Collagen Hydro Gel Gold Face Mask, 0.98 Oz, 2 Count",250,85758100360
,,,,Limited Stock,So Fresh So Clean Powerful Peel Off Black Mask,688,81465502578
,,,,Limited Stock,"SheaMoisture African Black Soap Clarifying Mud Mask - Clarifies and Balances Oily, Blemish-Prone Skin for a Smooth Complexion - Sulfate-Free with Natural and Organic Ingredients (4 oz)",1197,76430220021
walmart,10355 Trinity Pkwy,Canned-Food,12.0,,,,
,,,,In Stock,BUSHS Original Baked Beans 117 oz.,698,3940001628
,,,,In Stock,"Hormel Foods BLACK LABEL Can Ham, 48 oz",942,3760023221
,,,,In Stock,"Muir Glen, Organic Crushed Fire Roasted Tomatoes, 28 oz",243,72534229043
,,,,In Stock,"BUSH'S Savory Beans, Black Bean Fiesta, 15.5 oz Canned Beans",134,3940001194
,,,,In Stock,"East Point Wild Caught Tiny North Pacific Shrimp, 4 oz",354,4136910120
walmart,10355 Trinity Pkwy,Hand-sanitizer,12.0,,,,
,,,,In Stock,Germ-X 12 Fl. Oz. Aloe Advanced Hand Sanitizer,266,7278512512
,,,,In Stock,"Equate Travel Size Moisturizing Hand Sanitizer with Aloe, 3 fl oz",97,681131346580
,,,,In Stock,"Hello Bello Hand Sanitizer Spray, Apple Blossom, 1.65oz",184,810007189925
,,,,In Stock,"Hand Sanitizer with Cup Cat Holder, 30 mL.",25,843736037984
,,,,In Stock,"Hand Sanitizer with Cupcake Holder, 30 mL.",25,843736038004
walmart,10355 Trinity Pkwy,Wet-Wipes,12.0,,,,
,,,,In Stock,"Equate Flushable Wipes, Fresh Scent, 3 Packs of 48 Wipes, 144 Wipes Total",378,68113110523
,,,,In Stock,"2 Pack, Equate Beauty Makeup Remover Wipes, 80 Count",597,68113107281
,,,,In Stock,"Neutrogena Fragrance Free Makeup Remover Facial Wipes, 25 ct., 2 Pack",897,7050120014
,,,,In Stock,"2 Pack, Equate Beauty Night-Time Soothing Makeup Remover Wipes, 40 ct",597,68113111216
,,,,In Stock,Neutrogena Makeup Remover Cleansing Towelettes,493,7050111090
walmart,10355 Trinity Pkwy,Hot-Dogs,20.0,,,,
,,,,In Stock,"Ball Park Beef Hot Dogs, Original Length, 16 Count",526,5450019334
,,,,In Stock,"Ball Park Beef Hot Dogs, Original Length, 8 Count",264,5450019322
,,,,In Stock,"Lightlife Smart Dogs Meatless Veggie Hot Dogs, 8 count, 12 oz",297,4345410080
,,,,In Stock,"Ball Park Angus Beef Hot Dogs, Bun Size Length, 8 Count",294,5450010174
,,,,In Stock,"Oscar Mayer Classic Uncured Beef Hot Dogs, 10 ct - 15.0 oz Package",294,4470007505
walmart,10355 Trinity Pkwy,Rice,5.0,,,,
,,,,Limited Stock,"Botan Extra Fancy Calrose Rice, 20 lb",1748,1115214409
walmart,10355 Trinity Pkwy,Frozen-Foods,20.0,,,,
,,,,In Stock,HOT POCKETS Applewood Bacon Egg and Cheese Frozen Sandwiches 5 ct. Box Frozen Food With Reduced-Fat Cheddar Cheese,500,4369521114
,,,,In Stock,HOT POCKETS Philly Steak & Cheese Frozen Sandwiches 12 ct. Box Frozen Food Cheesesteak With Reduced-Fat Mozzarella Cheese,962,4369507520
,,,,In Stock,HOT POCKETS Four Cheese Pizza Frozen Sandwiches 12 ct. Box | Frozen Food With Reduced-Fat Mozzarella Cheese,962,4369507521
,,,,In Stock,"Tyson Fully Cooked Fun Nuggets with Whole Grain Breading, 29 oz. (Frozen)",497,2370001452
,,,,In Stock,"STOUFFERS CLASSICS Lasagna with Meat & Sauce, Party Size Frozen Meal",1178,1380055131
walmart,10355 Trinity Pkwy,Pasta,9.0,,,,
,,,,In Stock,BIRDS EYE Steamfresh Pasta Marinara,297,1450001745
,,,,In Stock,"Great Value Cheese Tortellini Pasta, 19 oz",277,7874200945
,,,,In Stock,"Rana Spinach & Ricotta Ravioli, 18 oz",592,87744800262
,,,,In Stock,"Great Value Stuffed Shells Pasta, 32 oz",548,7874224923
,,,,Limited Stock,BIRDS EYE Steamfresh Veggie Made Pasta Alfredo,297,1450001750
walmart,10355 Trinity Pkwy,Beans,10.0,,,,
,,,,In Stock,BUSHS Original Baked Beans 117 oz.,698,3940001628
,,,,In Stock,"BUSH'S Savory Beans, Black Bean Fiesta, 15.5 oz Canned Beans",134,3940001194
,,,,In Stock,"BUSH'S Barbecue Baked Beans, 28 oz Canned Beans",198,3940001199
,,,,In Stock,SunVista - Pinto Beans With Garlic - 29 Oz. Can,106,88439520772
,,,,In Stock,S&W - Pinto Chili Beans - Low Sodium - 15.5 Oz. Can,78,7227348472
walmart,10355 Trinity Pkwy,Chicken,13.0,,,,
,,,,In Stock,Perdue Harvestland NAE Frozen Boneless Skinless Indiviually Wrapped Chicken Breasts (2.25 lbs.),988,7274554618
,,,,In Stock,"Tyson Grilled & Ready Fully Cooked Grilled Chicken Breast Strips, 22 oz. (Frozen)",668,2370001625
,,,,In Stock,"Applegate Naturals Gluten-Free Chicken Nuggets, 16.0 OZ",987,2531705519
,,,,In Stock,"Great Value Boneless Skinless Chicken Breast, 5 lb. (Frozen)",976,7874202661
,,,,In Stock,"Great Value Boneless Skinless Chicken Breast, 3 lb. (Frozen)",594,7874237394
walmart,10355 Trinity Pkwy,Paper-Towels,10.0,,,,
,,,,In Stock,"Viva Multi-Surface Cloth Paper Towels, Choose-A-Sheet, 6 Double Rolls (=12 Regular Rolls)",998,036000508642
,,,,In Stock,"Great Value Everyday Strong Paper Towels, Split Sheet, 4 Double Rolls",382,078742210797
,,,,In Stock,"Bounty Select-A-Size Paper Towels, White, 2 Double Rolls = 4 Regular Rolls",464,037000762287
,,,,In Stock,"Great Value Everyday Paper Towels, 2 Double Rolls",198,078742210780
,,,,In Stock,"Sparkle Pick-A-Size Paper Towels, 4 Double Rolls",498,030400221026
walmart,10355 Trinity Pkwy,Egg,19.0,,,,
,,,,In Stock,"Great Value Large White Grade AA Eggs, 18 Count",204,7874214839
,,,,In Stock,"Marketside Organic Cage Free Brown Eggs, Large, 12 count, 24 oz",362,68113112277
,,,,In Stock,"Egg-Land's Best Cage Free Large Brown Grade A Eggs, 12 Count",342,71514151464
,,,,In Stock,"Great Value Jumbo White Eggs, 12 count, 30 oz",172,7874212714
,,,,In Stock,"Egg-Land's Best Extra Large White Grade A Eggs, 12 Count",282,71514172928
walmart,10355 Trinity Pkwy,Milk,7.5,,,,
,,,,In Stock,"Horizon Organic 1% Lowfat Shelf Stable Chocolate Milk, 8 Oz., 12 Count",1198,74236500270
,,,,Limited Stock,"Horizon Organic 1% Lowfat Shelf-Stable DHA Omega-3 Chocolate Milk, 8 Oz., 6 Count",684,74236500432
walmart,8465 Elk Grove Blvd,Peanut-Butter,9.0,,,,
,,,,In Stock,"SKIPPY Natural Creamy Peanut Butter, 15 oz",248,3760010506
,,,,In Stock,"SunButter Natural Sunflower Butter, 16 oz",482,73753919120
,,,,In Stock,Nuttzo Seed Butter Peanut,697,89469700227
,,,,In Stock,"MaraNatha Light Roast Creamy Almond Butter, 12 Ounce Jar",698,5165119240
,,,,Limited Stock,"Great Value No Stir Creamy Natural Peanut Butter Spread, 40 oz",332,7874200831
walmart,8465 Elk Grove Blvd,Meat,7.0,,,,
,,,,In Stock,"Tyson Premium Whole Cornish Hen (Twin Pack), 52 oz.",768,2370004130
,,,,In Stock,"Sam's Choice Black Angus Beef Patties, 6 ct, 2 lb (Frozen)",898,7874202908
,,,,Limited Stock,"Morningstar Farms Meat Lovers Vegan Burgers, 4oz, 4 count",648,2898910229
,,,,Limited Stock,Gardein Lightly Breaded Turky Cutlet 4 ct Bag,397,84223400096
,,,,Limited Stock,Tyson Chicken Breast Patties,497,2370001450
walmart,8465 Elk Grove Blvd,Bottled-Water,6.0,,,,
,,,,In Stock,"Propel Electrolyte Water, Black Cherry, 16.9 oz Bottles, 12 Count",638,5200013318
,,,,Limited Stock,"Propel Electrolyte Water, Berry, 16.9 oz Bottles, 12 Count",638,5200051233
,,,,Limited Stock,"Propel Electrolyte Water, Kiwi Strawberry, 16.9 oz Bottles, 12 Count",638,5200051200
,,,,Limited Stock,"LIFEWTR, Purified Water, pH Balanced with Electrolytes For Taste, 1 Liter bottles (6 Count)",748,1200017002
,,,,Limited Stock,HFactor - Hydrogen Infused Water - 11 fl. oz.,100,85242700606
walmart,8465 Elk Grove Blvd,Toilet-Paper,5.0,,,,
,,,,Limited Stock,"Cottonelle FreshCare Flushable Flushable Wipes, 2 Flip-Top Packs, 42 Wipes Per Pack (84 Total Wipes)",342,3600035970
walmart,8465 Elk Grove Blvd,Masks,7.0,,,,
,,,,In Stock,"Masqueology Collagen Hydro Gel Gold Face Mask, 0.98 Oz, 2 Count",250,85758100360
,,,,In Stock,Swissco Spa Bella Delux Mask,484,76989888105
,,,,Limited Stock,"L'Oreal Paris Revitalift Triple Power Intensive Anti-Aging Night Face Mask, 1.7 oz.",1797,7124924073
,,,,Limited Stock,So Fresh So Clean Powerful Peel Off Black Mask,688,81465502578
,,,,Limited Stock,"SheaMoisture African Black Soap Clarifying Mud Mask Packette Sulfate-Free, 0.5 oz",248,76430227072
walmart,8465 Elk Grove Blvd,Canned-Food,10.0,,,,
,,,,In Stock,"(4 Cans) Chicken of the Sea Chunk Light Tuna in Water, 5 oz",357,4800070065
,,,,In Stock,"East Point Wild Caught Tiny North Pacific Shrimp, 4 oz",354,4136910120
,,,,In Stock,"Pasta Lensi Red Lentil Fusilli, 10 oz",344,4732591015
,,,,In Stock,"Teasdale Quality Foods Teasdale Hominy, 108 oz",244,7124001235
,,,,Limited Stock,"(18 Pack) Fancy Feast Gravy Wet Cat Food Variety Pack, Medleys Florentine Collection, 3 oz. Cans",1458,5000057282
walmart,8465 Elk Grove Blvd,Hand-sanitizer,12.0,,,,
,,,,In Stock,"Equate Travel Size Moisturizing Hand Sanitizer with Aloe, 3 fl oz",97,681131346580
,,,,In Stock,"Hello Bello Hand Sanitizer Spray, Apple Blossom, 1.65oz",184,810007189925
,,,,In Stock,"Way To Celebrate Easter Hand Sanitizer, Butterflies",10,190425083594
,,,,In Stock,"Way To Celebrate Easter Hand Sanitizer, Bunny, 1 fl oz",10,190425083631
,,,,In Stock,HAND SANITIZER ASST,10,190425083563
walmart,8465 Elk Grove Blvd,Wet-Wipes,12.0,,,,
,,,,In Stock,"2 Pack, Equate Beauty Makeup Remover Wipes, 80 Count",597,68113107281
,,,,In Stock,"2 Pack, Equate Beauty Night-Time Soothing Makeup Remover Wipes, 40 ct",597,68113111216
,,,,In Stock,"Olay Regenerist Micro-Exfoliating Wet Cleansing Cloths, 30 Count",692,7560960404
,,,,In Stock,Neutrogena Makeup Remover Cleansing Towelettes,493,7050111090
,,,,Limited Stock,"Neutrogena Fragrance Free Makeup Remover Facial Wipes, 25 ct., 2 Pack",897,7050120014
walmart,8465 Elk Grove Blvd,Hot-Dogs,18.0,,,,
,,,,In Stock,"Ball Park Beef Hot Dogs, Original Length, 8 Count",264,5450019322
,,,,In Stock,"Ball Park Beef Hot Dogs, Original Length, 16 Count",526,5450019334
,,,,In Stock,"Oscar Mayer Classic Uncured Beef Hot Dogs, 10 ct - 15.0 oz Package",294,4470007505
,,,,In Stock,"Ball Park Angus Beef Hot Dogs, Bun Size Length, 8 Count",294,5450010174
,,,,In Stock,"Nathan's Famous Skinless Beef Franks, 14 oz",367,88831391499
walmart,8465 Elk Grove Blvd,Rice,15.0,,,,
,,,,In Stock,"Beech-Nut Baby Cereal Canister, Stage 1, Rice, 8 oz",238,5220003470
,,,,In Stock,"Gerber Probiotic Rice Banana Apple Baby Cereal, 8 oz.",368,1500007007
,,,,In Stock,"Saffron Road Chicken Biryani With Basmati Rice, 10.0 OZ",398,85706300204
,,,,In Stock,Healthy Choice Simply Steamers Frozen Dinner Chicken Fried Rice 10 Ounce,258,7265540104
,,,,In Stock,Pinnacle Foods Birds Eye Steamfresh Chefs Favorites Chicken Flavored Rice 10 oz,197,1450001312
walmart,8465 Elk Grove Blvd,Frozen-Foods,19.0,,,,
,,,,In Stock,HOT POCKETS Applewood Bacon Egg and Cheese Frozen Sandwiches 5 ct. Box Frozen Food With Reduced-Fat Cheddar Cheese,500,4369521114
,,,,In Stock,HOT POCKETS Philly Steak & Cheese Frozen Sandwiches 12 ct. Box Frozen Food Cheesesteak With Reduced-Fat Mozzarella Cheese,962,4369507520
,,,,In Stock,"STOUFFERS CLASSICS Lasagna with Meat & Sauce, Party Size Frozen Meal",1178,1380055131
,,,,In Stock,Healthy Choice Simply Steamers Frozen Dinner Grilled Chicken & Broccoli Alfredo 9.15 Ounce,258,7265500124
,,,,In Stock,"STOUFFERS CLASSICS Spaghetti with Meat Sauce, Frozen Meal",248,1380012007
walmart,8465 Elk Grove Blvd,Pasta,9.0,,,,
,,,,In Stock,"Pasta Lensi Red Lentil Fusilli, 10 oz",344,4732591015
,,,,In Stock,"STOUFFER'S CLASSICS Fettuccini Alfredo, Frozen Meal",248,1380012006
,,,,In Stock,"Saffron Road Pad Thai Chicken with Rice Noodles, 10 Ounce -- 8 per case.",398,85706300206
,,,,In Stock,"Great Value Linguine, 16 oz",78,7874220996
,,,,Limited Stock,BIRDS EYE Steamfresh Pasta Marinara,297,1450001745
walmart,8465 Elk Grove Blvd,Beans,12.0,,,,
,,,,In Stock,"Amy's Southwestern Burrito, Made with Organic Corn, Beans and Tomatoes, Non GMO, 5.5-Ounce",274,4227200076
,,,,In Stock,"Great Value Cut Green Beans, 12 oz",77,7874223734
,,,,In Stock,"Birds Eye Steamfresh Whole Green Beans, Frozen Vegetable, 10.8 OZ",197,1450002157
,,,,In Stock,"El Monterey Beef, Bean, and Cheese Chimichangas, Authentic Mexican Recipe Frozen Chimichangas, 8 Count Bag",283,7100701467
,,,,In Stock,"Amy's Enchilada with Spanish Rice & Beans, Whole Meals, Gluten Free, 10-Ounce",374,4227200051
walmart,8465 Elk Grove Blvd,Chicken,12.0,,,,
,,,,In Stock,"Tyson Grilled & Ready Fully Cooked Grilled Chicken Breast Strips, 22 oz. (Frozen)",668,2370001625
,,,,In Stock,Perdue Harvestland NAE Frozen Boneless Skinless Indiviually Wrapped Chicken Breasts (2.25 lbs.),988,7274554618
,,,,In Stock,"Tyson Grilled & Ready Fully Cooked Oven Roasted Diced Chicken Breast, 22 oz. (Frozen)",668,2370001627
,,,,In Stock,"Great Value All Natural Chicken Wing Sections, 64 oz",926,7874212452
,,,,In Stock,"Tyson Fully Cooked Chicken Nuggets, 32 oz. (Frozen)",438,2370002847
walmart,8465 Elk Grove Blvd,Paper-Towels,10.0,,,,
,,,,In Stock,"Great Value Everyday Strong Paper Towels, Split Sheet, 4 Double Rolls",382,078742210797
,,,,In Stock,"Great Value Everyday Paper Towels, 2 Double Rolls",198,078742210780
,,,,In Stock,"Bounty Select-A-Size Paper Towels, White, 2 Double Rolls = 4 Regular Rolls",464,037000762287
,,,,In Stock,"Sparkle Pick-A-Size Paper Towels, 4 Double Rolls",498,030400221026
,,,,In Stock,"Great Value Everyday Strong Paper Towels, Split Sheets, 4 Triple Rolls",522,078742210803
walmart,8465 Elk Grove Blvd,Egg,17.0,,,,
,,,,In Stock,"Marketside Organic Cage Free Brown Eggs, Large, 12 count, 24 oz",362,68113112277
,,,,In Stock,"Great Value Large White Grade AA Eggs, 18 Count",488,7874214839
,,,,In Stock,"Marketside Large Cage Free Brown Eggs, 12 count, 24 oz",248,68113112276
,,,,In Stock,"Great Value Large White Grade AA Eggs, 36 Count",970,7874214867
,,,,In Stock,"Egg-Land's Best Extra Large White Grade A Eggs, 12 Count",282,71514172928
walmart,8465 Elk Grove Blvd,Milk,5.0,,,,
,,,,Limited Stock,"Horizon Organic 1% Lowfat Shelf Stable Chocolate Milk, 8 Oz., 12 Count",1198,74236500270
walmart,1601 S Lower Sacramento Rd,Peanut-Butter,10.0,,,,
,,,,In Stock,"PBfit Organic All-Natural Peanut Butter Powder, 15 oz",868,89792200275
,,,,In Stock,"Great Value No Stir Creamy Natural Peanut Butter Spread, 40 oz",332,7874200831
,,,,In Stock,"SunButter Natural Sunflower Butter, 16 oz",482,73753919120
,,,,In Stock,Nuttzo Seed Butter Peanut,697,89469700227
walmart,1601 S Lower Sacramento Rd,Meat,9.0,,,,
,,,,In Stock,"All Natural* 80% Lean/20% Fat Ground Beef Chuck Tray, 1 lb",447,7874226954
,,,,In Stock,"Ball Park Fully-Cooked Flame Grilled Original Beef Patties, 6 Count (Frozen)",697,5450019145
,,,,In Stock,"PRICE PER LB: Foster Farms Party Pack Chicken Wings, 4.75-5.0 lb",227,25945200000
,,,,In Stock,Morningstar Farms Frozen Veggie Hot Dogs 8.4 oz 6 ct,283,2898957799
,,,,Limited Stock,"Morningstar Farms Meat Lovers Vegan Burgers, 4oz, 4 count",648,2898910229
walmart,1601 S Lower Sacramento Rd,Bottled-Water,7.5,,,,
,,,,In Stock,"Propel Electrolyte Water, Berry, 16.9 oz Bottles, 12 Count",638,5200051233
,,,,In Stock,"Propel Electrolyte Water, Kiwi Strawberry, 16.9 oz Bottles, 12 Count",638,5200051200
,,,,Limited Stock,"Propel Electrolyte Water, Black Cherry, 16.9 oz Bottles, 12 Count",638,5200013318
,,,,Limited Stock,"Essentia Water; Better Rehydration* 1 Liter Bottles, Case of 6",998,65722700210
